frase,palabra,significado_correcto,traduccion_es,Significados_es
他说了他也爱我。,了,,Dijo que también me amaba.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
最坏的情境是什么？,最,,¿Cuál es el peor escenario?,mayoría; el más; -est (sufijo superlativo)
他是個表裏如一的人。,一,,Es un hombre de la misma escala.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
这部漫画在中国很受欢迎,中,,Este cómic es popular en China.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
我去了动物园。,了,,Fui al zoológico.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
吃了沒,了,,¿Ya has comido?,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
用英語回答下列問題。,用,,Responda las siguientes preguntas en inglés.,para usar; para usar; emplear; (cobertura) con; usando; necesitar; tener que (usu. Usado en las preguntas negativas o en las preguntas); utilidad; utilidad; (forma unida) gasto; desembolso; (cortés) para comer; beber; (literario) Por lo tanto; por lo tanto
不久前。,前,,No hace mucho.,"frente; adelante; adelante; primero; arriba (seguido de un número); futuro; atrás; antes; BC (por ejemplo, 前 293年); anterior; antes"
不要靠近我，我感冒了。,靠,,"No te acerques a mí, tengo un resfriado.",apoyarse o encender o encender; estar al lado de; acercarse a; depender de; confiar; para follar (vulgar); Drama de vestuario militar tradicional donde los artistas usan armadura (vieja)
有辆车停在入口。,有,,Hay un coche estacionado en la entrada.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
聽起來像是我戀愛了嗎？,像,,¿Eso suena como si estuviera enamorado?,parecerse; ser como; parecer como si; como; apariencia; imagen; retrato; Imagen bajo una mapeo (matemáticas)
此藥只供外用。,外,,Es sólo para uso externo.,afuera; además; extranjero; externo
我厌倦了他的老笑话。,老,,Estoy cansado de sus viejos chistes.,"prefijo utilizado antes del apellido de una persona o un número que indica el orden de nacimiento de los niños en una familia o para indicar afecto o familiaridad; viejo (de la gente); venerable (persona); experimentado; de larga data; siempre; todo el tiempo; del pasado; muy; anticuado; (de carne, etc.) duro"
他们是哪里的?,是,,¿A dónde pertenecen?,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
汤姆的房间非常小。,常,,La habitación de Tom es muy pequeña.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
我是一個虔誠的教徒，我相信死後的生命。,一,,"Soy un verdadero creyente, y creo en la vida después de la muerte.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我和汤姆说了，我觉得这个主意很好。,意,,"Hablé con Tom, creo que es una buena idea.",idea; significado; pensamiento; pensar; desear; deseo; intención; esperar; para anticipar
橙子在我嘴里留下了一种奇怪的味道。,道,,Naranja dejó un extraño olor en mi boca.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
修不了。,了,,No puedo arreglarlo.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我让她生气了。,生,,La enfadé.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
凱特從她的父親那裡得到了一些錢。,一,,Kate recibió algo de dinero de su padre.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
他們在小學時就是朋友了。,了,,Eran amigos en la escuela primaria.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
上课时，老师问了学生问题。,生,,"En clase, el maestro hizo preguntas sobre los estudiantes.",nacer; dar a luz; vida; crecer; crudo; crudo; alumno
你有認識好的牙醫嗎？,有,,¿Conoces a algún buen dentista?,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
这儿的人对吃很讲究，所以即使是很便宜的餐馆，如果味道不好的话，也很快就会关门大吉的。,即,,"La gente aquí come muy bien, así que incluso los restaurantes baratos, si no saben bien, cerrarán pronto.",a saber; eso es; es decir.; inmediato; inmediatamente; Actualmente; incluso si; provocado (por la ocasión); acercarse; para entrar en contacto; asumir (oficina); para acercarse
我是中文母语者。,中,,Soy una lengua materna china.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
瑪麗亞收到了一封從德國來的信。,一,,María recibió una carta de Alemania.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
富士山有多高？,有,,¿Qué tan alto es el monte Fuji?,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
這些花放在哪裏也沒關係，顯眼就行了。,花,,No importa dónde estén las flores.,"flor; florecer; Cl: 朵 [duo3], 支 [zhi1], 束 [shu4], 把 [ba3], 盆 [Pen2], 簇 [Cu4]; patrón elegante; florido; gastar (dinero, tiempo); (coll.) lujurioso; libidinoso"
我們會買麵包。,包,,Compraremos pan.,"para cubrir; para envolver; para sostener; incluir; para hacerse cargo de; contratar (a o para); paquete; envoltura; recipiente; bolsa; para sostener o abrazar; manojo; paquete; CL: 個 | 个 [GE4], 隻 | 只 [Zhi1]"
我覺得這計畫不是很聰明。,是,,No creo que sea muy inteligente.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
他的钟比我的贵。,比,,Sus campanas son más caras que las mías.,para comparar; (seguido de un sustantivo y adjetivo) más {adj.} que {sustantivo}; relación; al gesto; (Taiwán pr. [Bi4] en algunos compuestos derivados del chino clásico)
不要这么恶心。,心,,No seas tan desagradable.,"corazón; mente; intención; centro; centro; CL: 顆 | 颗 [Ke1], 個 | 个 [GE4]"
和都市生活相比，鄉村生活和諧多了。,比,,La vida en las aldeas es mucho más armoniosa que la vida urbana.,para comparar; (seguido de un sustantivo y adjetivo) más {adj.} que {sustantivo}; relación; al gesto; (Taiwán pr. [Bi4] en algunos compuestos derivados del chino clásico)
不要把你的手肘放在桌子上。,手,,No pongas el codo sobre la mesa.,"mano; (formal) para sostener; persona dedicada a ciertos tipos de trabajo; persona experta en ciertos tipos de trabajo; personalmente); conveniente; clasificador para habilidad; Cl: 雙 | 双 [shuang1], 隻 | 只 [zhi1]"
你想要什麼嗎？,要,,¿Quieres algo?,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
你是个坏孩子。,是,,Eres un chico malo.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
他畫了牆上的那幅畫。,了,,Dibujó la pintura en la pared.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
那个胖女人拿着一只猴子。,拿,,Esa mujer gorda con un mono.,para sostener; apoderarse; atrapar; aprehender; tomar; (utilizado de la misma manera que 把 [BA3]: para marcar el siguiente sustantivo como objeto directo)
我在房間睡覺。,在,,Estoy durmiendo en mi habitación.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
我拒绝了付款。,了,,Me negué a pagar.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我昨晚寫了一封情書。,一,,Escribí una carta de amor anoche.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
玛丽告诉我她计划搬去波士顿,去,,Mary me dijo que planeaba mudarse a Boston.,"ir; para ir a (un lugar); (de un tiempo, etc.) Último; Acabo de pasar; para enviar; para quitar; deshacerse de; para reducir; estar separado del espacio o en el tiempo; morir (eufemismo); jugar (un papel); (cuando se usa antes o después de un verbo) para ir para hacer sth; (después de un verbo de movimiento indica el movimiento lejos del altavoz); (usado después de ciertos verbos para indicar desprendimiento o separación)"
他们都很喜欢。,喜,,A todos les encanta.,ser aficionado a; me gusta; para disfrutar; ser feliz; sentirse complacido; felicidad; deleitar; contento
他的房子遭到雷擊。,到,,Su casa fue golpeada por un rayo.,alcanzar; llegar; para irse por; para ir; a (un lugar); hasta (una hora); hasta cierto punto); (complemento verbal que indica llegar a un lugar o alcanzar un punto); considerado; considerado; exhaustivo
他不仅给我衣服，还给我食物。,不,,"No sólo me dio ropa, me dio comida.",No; no así; (forma unida) no; Naciones Unidas-
生活並不都是輕鬆愉快的。,生,,La vida no siempre es fácil y agradable.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
我不会卖的。,不,,No lo venderé.,No; no así; (forma unida) no; Naciones Unidas-
他不是我男友，他是我弟。,是,,"No es mi novio, es mi hermano.",ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
你应该能解决。,能,,Deberías ser capaz de arreglarlo.,poder; poder; posiblemente podría; capacidad; (Física) Energía
我的父親是患癌症死的。,是,,Mi padre murió de cáncer.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
他把包放在桌上。,在,,Puso la bolsa sobre la mesa.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
爱的标准就是无限度地去爱。,地,,El criterio del amor es el amor sin límite.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
他覺得自己像是博物館裡的展品。,像,,Cree que es como una exposición en un museo.,parecerse; ser como; parecer como si; como; apariencia; imagen; retrato; Imagen bajo una mapeo (matemáticas)
她的老公是英文老师，所以她能免费上英文课。,文,,"Su marido era profesor de inglés, por lo que podía tomar clases de inglés de forma gratuita.",idioma; cultura; escribiendo; formal; literario; amable; (antiguo) clasificador para monedas; Kangxi Radical 67
他儿子小时候就死于癌症了。,了,,Su hijo murió de cáncer de niño.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
他們稱他膽小鬼。,小,,Lo llaman cobarde.,pequeño; diminuto; pocos; joven
他们买了跟你同款的相机。,同,,Compraron la misma cámara que tú.,como; mismo; similar; juntos; similar; con
最近的天氣愈來愈涼爽了。,最,,El clima reciente se está enfriando.,mayoría; el más; -est (sufijo superlativo)
不好意思，現在線路繁忙。,意思,,"Lo siento, es una línea ocupada.","idea; opinión; significado; desear; deseo; interés; divertido; Token de apreciación, afecto, etc. CL: 個 | 个 [GE4]; dar como una pequeña ficha; hacer sth como un gesto de buena voluntad, etc."
以前的人不知道地球是圓的，也不知道地球是繞著太陽轉的。,道,,La gente antes de nosotros no sabía que la Tierra era redonda o que estaba orbitando alrededor del sol.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
他法语说得很流利。,流,,Habla francés con fluidez.,"para fluir; diseminar; circular o extender; para moverse o derivar; degenerar; para desterrar o enviar al exilio; corriente de agua o sth que se asemeja a uno; clase, tarifa o calificación"
忽然天氣轉為多雲。,多,,"Entonces, de repente, el clima se convirtió en nubes.",muchos; mucho; más; mucho; demasiado; en exceso; (después de un número) ... impar; cómo (en qué medida) (Taiwán pr. [duo2]); (forma unida) múltiple; escuela politécnica-
你找錯人了。,找,,Tienes al tipo equivocado.,para tratar de encontrar; buscar; llamar a SB; encontrar; buscar; para regresar; Para dar cambio
我将6点回来。,回,,Volveré a las 6:00.,a un círculo; volver; dar la vuelta; para responder; para regresar; para girar; Grupo étnico Hui (musulmanes chinos); tiempo; clasificador para actos de una obra; sección o capítulo (de un libro clásico)
後來我明白北京人走路走得慢。,人,,Entonces me di cuenta de que los Beijingers eran lentos para caminar.,"persona; gente; CL: 個 | 个 [GE4], 位 [wei4]"
我不喜歡用洗衣液。,喜,,No me gustan los fluidos de lavado.,ser aficionado a; me gusta; para disfrutar; ser feliz; sentirse complacido; felicidad; deleitar; contento
今天下午天氣會變差。,今,,El tiempo empeorará esta tarde.,"ahora; el tiempo presente; actual; contemporáneo; Este (día, año, etc.)"
格罗宁根方言好难啊。,方,,El dialecto de Groningen es tan difícil.,"cuadrado; poder o invitación (matemáticas); vertical; honesto; justo y cuadrado; dirección; lado; parte (a un contrato, disputa, etc.); lugar; método; receta (medicina); justo cuando; solo o justo; clasificador para cosas cuadradas; abbr. para metro cuadrado o cúbico"
要我解释给你听是不可能的。,要,,Es imposible para mí explicártelo.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
汤姆被强迫回家。,家,,Tom se vio obligado a ir a casa.,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
奧林匹斯山? 那不是希臘眾神鬼混的地方?,神,,"Olimpo, ¿no es ahí donde pasan el rato los griegos?",dios; deidad; sobrenatural; mágico; misterioso; espíritu; mente; energía; dinámico; expresivo; mirar; expresión; (coll.) Impresionante; asombroso
紅色很漂亮，但還比不過藍色。,比,,"El rojo es hermoso, pero no es tan bueno como el azul.",para comparar; (seguido de un sustantivo y adjetivo) más {adj.} que {sustantivo}; relación; al gesto; (Taiwán pr. [Bi4] en algunos compuestos derivados del chino clásico)
因为没有一个人会说英语，所以我最近都没怎么练习。,有,,"Porque nadie habla inglés, no he practicado mucho últimamente.",tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
他一向只关心具体问题。,一,,Siempre ha estado preocupado sólo por cuestiones específicas.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
現在輪到我兄弟了。,了,,Ahora es el turno de mi hermano.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
JST代表日本標準時間。,日,,JST representa el tiempo estándar de Japón.,"sol; día; Fecha, día del mes"
是的，这是我的房子。,是,,"Sí, es mi casa.",ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我很确定你也会为我做同样的事。,同,,Estoy seguro de que harás lo mismo por mí.,como; mismo; similar; juntos; similar; con
如果今天是星期日，我會去釣魚。,如果,,"Si es domingo, iré a pescar.",si; En caso; en caso de que
我們很滿意我們的車。,意,,Estamos contentos con nuestro coche.,idea; significado; pensamiento; pensar; desear; deseo; intención; esperar; para anticipar
虽然Luciano可能已经是出类拔萃，但他还是乳臭未干。,但,,"Aunque Luciano pudo haber sido excelente, todavía apesta a leche.",pero; todavía; sin embargo; aún; meramente; solo; justo
喜爱孤独者，非神即兽。,即,,"Ama a los solitarios, no a los dioses ni a las bestias.",a saber; eso es; es decir.; inmediato; inmediatamente; Actualmente; incluso si; provocado (por la ocasión); acercarse; para entrar en contacto; asumir (oficina); para acercarse
他特别的喜欢历史。,喜,,Le gusta particularmente la historia.,ser aficionado a; me gusta; para disfrutar; ser feliz; sentirse complacido; felicidad; deleitar; contento
托馬斯，你還要什麼？,要,,"Thomas, ¿qué más quieres?",querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
Bill进去检查过了。,了,,Bill entró y lo comprobó.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
不要担心，一切都会好的。,一,,"No te preocupes, todo estará bien.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我結婚了。,了,,Estoy casado.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
托尼英语说得很好。,得,,Tony habla muy bien en inglés.,tener que; debe; debería; necesitar
台北的夏天非常悶熱潮濕喔！,常,,¡El verano en Taipei está muy aturdido y húmedo!,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
世界正在发展得太快。,世,,El mundo está creciendo demasiado rápido.,vida; edad; generación; era; mundo; vida; época; descendiente; noble
我家附近有个漂亮的公园。,有,,Hay un hermoso parque cerca de mi casa.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
幾天之後你就可以開車了。,以,,Puedes conducir en unos días.,para usar; mediante; de acuerdo a; con el fin de; debido a; en (una cierta fecha o lugar)
我每天讀中文。,中,,Leía chino todos los días.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
您需要重新启动电脑。,要,,Necesitas reiniciar la computadora.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
她把蘋果切成了兩半。,成,,Cortó la manzana por la mitad.,para tener éxito; para terminar; para completar; para lograr; convertirse; convertirse en; estar bien; ¡DE ACUERDO!; una décima parte
我以为你在我这边。,以,,Pensé que estabas de mi lado.,para usar; mediante; de acuerdo a; con el fin de; debido a; en (una cierta fecha o lugar)
我幾年前去過羅馬尼亞。,前,,Fui a Rumania hace unos años.,"frente; adelante; adelante; primero; arriba (seguido de un número); futuro; atrás; antes; BC (por ejemplo, 前 293年); anterior; antes"
地球像一块大吸铁石一样。,地,,La Tierra es como un snort gigante de hierro.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
他不小心打到了我。,心,,Me golpeó accidentalmente.,"corazón; mente; intención; centro; centro; CL: 顆 | 颗 [Ke1], 個 | 个 [GE4]"
塵緣難了。,了,,El polvo es duro.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
順道一提，我的英語是絕對沒有希望了。,道,,"Por cierto, mi inglés es absolutamente inútil.","camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
在第四行写下您的姓。,第,,Escribe tu apellido en la línea cuatro.,"(prefijo que indique el número ordinal, como en 第六 [di4-liu4] ""sexto""); Grados (literarios) en los que se colocaron candidatos exitosos en los exámenes imperiales; (antigua) residencia de un alto funcionario; (literario) pero; sin embargo; (literario) solo; justo"
飞机起飞的时候紧张很正常。,常,,Las tensiones eran normales cuando el avión despegó.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
我吹次中音薩克斯風。,中,,Toco saxofón medio.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
這是你朋友的車嗎？,是,,¿Este es el coche de tu amigo?,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
從中午到下午四五點的時候都是晴天。,中,,Hace sol de mediodía a 4:00 p.m.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
我不喜欢这个操作系统的页面。,面,,No me gusta esta página del sistema operativo.,"rostro; lado; superficie; aspecto; arriba; Clasificador para objetos con superficies planas como tambores, espejos, banderas, etc."
我们真的爱沙巴吗？,巴,,¿De verdad amamos a Shaba?,"anhelar; desear; a aferrarse a; apegarse; Sth que se pega; cerca de; junto a; extendido abierto; ABBR informal. para bus 巴士 [BA1 shi4]; barra (unidad de presión); nominalización del sufijo en ciertos sustantivos, como 尾巴 [wei3 Ba5], cola"
他放開了她的手，聲音變得嚴肅。,手,,Le soltó la mano y el sonido se volvió serio.,"mano; (formal) para sostener; persona dedicada a ciertos tipos de trabajo; persona experta en ciertos tipos de trabajo; personalmente); conveniente; clasificador para habilidad; Cl: 雙 | 双 [shuang1], 隻 | 只 [zhi1]"
我想没这个必要。,要,,No creo que sea necesario.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
我想找Sato先生。,生,,Estoy buscando al Sr. Sato.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
那个人败家子。,家,,Ese hombre perdió a su familia.,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
他说他很高兴。,高,,Dijo que era feliz.,alto; alto; por encima del promedio; alto; Tu (honorífico)
"所以, 有段時間你也是個巫師嗎?",段,,"Entonces, ¿has sido un hechicero por un tiempo?","párrafo; sección; segmento; etapa (de un proceso); clasificador para historias, períodos de tiempo, longitudes de hilo, etc."
請按他們教你的做。,按,,"Por favor, haz lo que te enseñan.",presionar; para empujar; para dejar de lado o guardar; para controlar; para contener; para mantener la mano encendida; para verificar o referirse a; de acuerdo a; a la luz de; (de un editor o autor) para hacer un comentario
你真的不该用盗版软件。,真,,No deberías usar software pirata.,en realidad; realmente; en efecto; real; verdadero; genuino
屋里请。,里,,"Por favor, adentro.","li, medida antigua de longitud, aprox. 500 m; vecindario; Antigua unidad administrativa de 25 familias; (TW) Borough, Unidad Administrativa entre el municipio 鎮 | 镇 [Zhen4] y el vecindario 鄰 | 邻 [Lin2] Niveles"
我希望人们满意。,意,,Quiero que la gente esté satisfecha.,idea; significado; pensamiento; pensar; desear; deseo; intención; esperar; para anticipar
給鬆餅機塗上油。,油,,Ponga aceite en la máquina de magdalenas.,"aceite; gordo; grasa; petróleo; para aplicar aceite tung, pintura o barniz; aceitoso; grasiento; fácil; astuto"
他們的父親是一個計程車司機。,一,,Su padre era taxista.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
这座城堡比那座漂亮。,比,,Este castillo es más hermoso que ese.,para comparar; (seguido de un sustantivo y adjetivo) más {adj.} que {sustantivo}; relación; al gesto; (Taiwán pr. [Bi4] en algunos compuestos derivados del chino clásico)
UK是英国的缩写。,是,,Reino Unido es un acrónimo británico.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
"快點, 我們要離開了!",要,,"¡Vamos, nos vamos!",querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
闭上你的狗嘴。,上,,Cierra la puta boca.,(forma unida) arriba; superior; arriba; anterior; primero (de múltiples partes); para escalar; para entrar; subir; asistir (clase o universidad); (complemento direccional) arriba; (sustantivo sufijo) encendido; arriba
你是老师吗？,老,,¿Eres profesor?,"prefijo utilizado antes del apellido de una persona o un número que indica el orden de nacimiento de los niños en una familia o para indicar afecto o familiaridad; viejo (de la gente); venerable (persona); experimentado; de larga data; siempre; todo el tiempo; del pasado; muy; anticuado; (de carne, etc.) duro"
原来你是个萝莉控。,是,,Así que eres un Lori Control.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
