Palabra,Pinyin,Significados_en,Significados_es,Score,Audio_URL
月,yue,"moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]","luna; mes; mensual; CL: 個 | 个 [GE4], 輪 | 轮 [LUN2]",1763312,https://translate.google.com/translate_tts?ie=UTF-8&q=月&tl=zh&client=tw-ob
毛,mao,"hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate; classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])","cabello; pluma; abajo; lana; moho; moho; grueso o semifinido; joven; crudo; descuidado; irreflexivo; nervioso; asustado; (de moneda) para devaluar o depreciarse; Clasificador para la unidad monetaria fraccional china (= 角 [Jiao3], = una décima parte de un yuan o 10 fen 分 [fen1])",1744425,https://translate.google.com/translate_tts?ie=UTF-8&q=毛&tl=zh&client=tw-ob
于,yu,to go; to take; sentence-final interrogative particle; variant of 於|于[yu2],ir; tomar; partícula interrogativa de oración final; variante de 於 | 于 [yu2],1698816,https://translate.google.com/translate_tts?ie=UTF-8&q=于&tl=zh&client=tw-ob
有,you,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3yi4] intentional),tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional),1695060,https://translate.google.com/translate_tts?ie=UTF-8&q=有&tl=zh&client=tw-ob
任,ren,"to assign; to appoint; to take up a post; office; responsibility; to let; to allow; to give free rein to; no matter (how, what etc); classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)","para asignar; nombrar; para tomar una publicación; oficina; responsabilidad; dejar; para permitir; para dar rienda suelta a; No importa (cómo, qué, etc.); Clasificador para los términos servidos en el cargo, o para cónyuges, novias, etc. (como en 前任男友)",1683100,https://translate.google.com/translate_tts?ie=UTF-8&q=任&tl=zh&client=tw-ob
副,fu,"secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions","secundario; auxiliar; diputado; asistente; vicio-; abbr. para 副詞 | 副词 Adverb; Clasificador para parejas, conjuntos de cosas y expresiones faciales",1622537,https://translate.google.com/translate_tts?ie=UTF-8&q=副&tl=zh&client=tw-ob
一定,yi ding,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must,seguramente; ciertamente; necesariamente; fijado; un cierto (extensión etc.); dado; particular; debe,1618752,https://translate.google.com/translate_tts?ie=UTF-8&q=一定&tl=zh&client=tw-ob
事,shi,"matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]","asunto; cosa; artículo; trabajar; amorío; CL: 件 [Jian4], 樁 | 桩 [Zhuang1], 回 [Hui2]",1611684,https://translate.google.com/translate_tts?ie=UTF-8&q=事&tl=zh&client=tw-ob
代表,dai biao,"representative; delegate; CL:位[wei4],個|个[ge4],名[ming2]; to represent; to stand for; on behalf of; in the name of","representante; delegar; Cl: 位 [wei4], 個 | 个 [GE4], 名 [Ming2]; representar; para soportar; a nombre de; al nombre de",1606073,https://translate.google.com/translate_tts?ie=UTF-8&q=代表&tl=zh&client=tw-ob
他,ta,"(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1ri4] and 他人[ta1ren2])",,1605356,https://translate.google.com/translate_tts?ie=UTF-8&q=他&tl=zh&client=tw-ob
叫,jiao,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),gritar; llamar; para ordenar; preguntar; ser llamado; por (indica agente en el estado de ánimo pasivo),1563516,https://translate.google.com/translate_tts?ie=UTF-8&q=叫&tl=zh&client=tw-ob
理,li,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up,textura; grano (de madera); esencia interior; orden intrínseco; razón; lógica; verdad; ciencia; Ciencias Naturales (Esp. Física); para administrar; prestar atención a; para correr (asuntos); para manejar; poner en orden; Para ordenar,1550250,https://translate.google.com/translate_tts?ie=UTF-8&q=理&tl=zh&client=tw-ob
想,xiang,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),pensar (sobre); pensar; idear; pensar (que); creer (que); desear; querer (a); perderse (sentirse melancólico por la ausencia de),1547600,https://translate.google.com/translate_tts?ie=UTF-8&q=想&tl=zh&client=tw-ob
者,zhe,"(after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this",,1505344,https://translate.google.com/translate_tts?ie=UTF-8&q=者&tl=zh&client=tw-ob
一般,yi ban,same; ordinary; so-so; common; general; generally; in general,mismo; común; más o menos; común; general; generalmente; en general,1485239,https://translate.google.com/translate_tts?ie=UTF-8&q=一般&tl=zh&client=tw-ob
死,si,to die; impassable; uncrossable; inflexible; rigid; extremely; damned,morir; infranqueable; no se puede cruzar; inflexible; rígido; extremadamente; maldito,1469167,https://translate.google.com/translate_tts?ie=UTF-8&q=死&tl=zh&client=tw-ob
不,bu,no; not so; (bound form) not; un-,No; no así; (forma unida) no; Naciones Unidas-,1441324,https://translate.google.com/translate_tts?ie=UTF-8&q=不&tl=zh&client=tw-ob
高,gao,high; tall; above average; loud; your (honorific),alto; alto; por encima del promedio; alto; Tu (honorífico),1437075,https://translate.google.com/translate_tts?ie=UTF-8&q=高&tl=zh&client=tw-ob
更,geng,more; even more; further; still; still more,más; aún más; más; aún; aún más,1411950,https://translate.google.com/translate_tts?ie=UTF-8&q=更&tl=zh&client=tw-ob
派,pai,"(literary) tributary; branch of a river; clique; school; group; faction; (bound form) style; manner; to send (a person or resource); to dispatch; to allocate (a resource or task); to appoint (sb); classifier for factions, groups etc; (preceded by 一[yi1]) classifier used in characterizing a scene, atmosphere, demeanor, sound, remark etc; (loanword) pi (Greek letter Ππ); the circular ratio 𝜋 = 3.14159...; (loanword) pie","(literario) afluente; rama de un río; camarilla; escuela; grupo; facción; (forma unida) estilo; manera; para enviar (una persona o recurso); para despachar; asignar (un recurso o tarea); nombrar (SB); clasificador para facciones, grupos, etc. (precedido por 一 [yi1]) clasificador utilizado para caracterizar una escena, atmósfera, comportamiento, sonido, observación, etc. (Palabra de préstamo) Pi (carta griega ππ); la relación circular 𝜋 = 3.14159 ...; (palabra de préstamo) pastel",1398592,https://translate.google.com/translate_tts?ie=UTF-8&q=派&tl=zh&client=tw-ob
令,ling,to order; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position (old); type of short song or poem,para ordenar; para ordenar; una orden; orden; escritura; causar; para hacer que ocurra Sth; virtuoso; título honorífico; estación; posición gubernamental (antigua); tipo de canción o poema,1377360,https://translate.google.com/translate_tts?ie=UTF-8&q=令&tl=zh&client=tw-ob
作,zuo,"to do; to engage in; to write; to compose; to pretend; to feign; to regard as; to consider to be; to be; to act the part of; to feel (itchy, nauseous etc); writings; works","hacer; participar; escribir; para componer; fingir; fingir; considerar como; considerar ser; ser; actuar la parte de; sentir (picazón, náuseas, etc.); escritos; obras",1372784,https://translate.google.com/translate_tts?ie=UTF-8&q=作&tl=zh&client=tw-ob
信,xin,letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random,carta; correo; CL: 封 [Feng1]; confiar; creer; para profesar la fe en; veraz; confianza; confianza; a voluntad; al azar,1353748,https://translate.google.com/translate_tts?ie=UTF-8&q=信&tl=zh&client=tw-ob
同,tong,like; same; similar; together; alike; with,como; mismo; similar; juntos; similar; con,1352808,https://translate.google.com/translate_tts?ie=UTF-8&q=同&tl=zh&client=tw-ob
破,po,"broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of","roto; dañado; desgastado; malísimo; podrido; romper, dividir o escindir; deshacerse de; destruir; romper con; para derrotar; para capturar (una ciudad, etc.); para exponer la verdad de",1332000,https://translate.google.com/translate_tts?ie=UTF-8&q=破&tl=zh&client=tw-ob
身,shen,"body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158","cuerpo; vida; uno mismo; personalmente; la moralidad y la conducta de uno; la parte principal de una estructura o cuerpo; embarazada; Clasificador para juegos de ropa: traje, Twinset; Kangxi Radical 158",1278909,https://translate.google.com/translate_tts?ie=UTF-8&q=身&tl=zh&client=tw-ob
落,luo,to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement,caer o caer; (del sol) para poner; (de una marea) para salir; a la baja; declinar o hundirse; retrasar o quedarse atrás; caer sobre; descansar con; para obtener o recibir; escribir; paradero; asentamiento,1263744,https://translate.google.com/translate_tts?ie=UTF-8&q=落&tl=zh&client=tw-ob
人,ren,"person; people; CL:個|个[ge4],位[wei4]","persona; gente; CL: 個 | 个 [GE4], 位 [wei4]",1252836,https://translate.google.com/translate_tts?ie=UTF-8&q=人&tl=zh&client=tw-ob
里,li,"li, ancient measure of length, approx. 500 m; neighborhood; ancient administrative unit of 25 families; (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels","li, medida antigua de longitud, aprox. 500 m; vecindario; Antigua unidad administrativa de 25 familias; (TW) Borough, Unidad Administrativa entre el municipio 鎮 | 镇 [Zhen4] y el vecindario 鄰 | 邻 [Lin2] Niveles",1232864,https://translate.google.com/translate_tts?ie=UTF-8&q=里&tl=zh&client=tw-ob
片,pian,"thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; Kangxi radical 91","pieza delgada; escama; una porción; película; Juego de televisión; para cortar; para tallar; parcial; incompleto; unilateral; clasificador para rodajas, tabletas, tracto de tierra, área de agua; clasificador para CD, películas, DVD, etc. Usado con numeral 一 [yi1]: clasificador para escenario, escena, sentimiento, atmósfera, sonido, etc. Kangxi Radical 91",1208928,https://translate.google.com/translate_tts?ie=UTF-8&q=片&tl=zh&client=tw-ob
主,zhu,owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games),dueño; maestro; anfitrión; individuo o parte preocupado; Dios; Caballero; principal; para indicar o significar; Tarjeta Trump (en juegos de cartas),1201878,https://translate.google.com/translate_tts?ie=UTF-8&q=主&tl=zh&client=tw-ob
科,ke,branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb; CL:個|个[ge4],"rama del estudio; sección administrativa; división; campo; rama; instrucciones de etapa; familia (taxonomía); normas; leyes; para medir (castigo); recaudar (impuestos, etc.); a FINE SB; CL: 個 | 个 [GE4]",1199562,https://translate.google.com/translate_tts?ie=UTF-8&q=科&tl=zh&client=tw-ob
故,gu,"happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead","acontecimiento; instancia; razón; causa; intencional; anterior; viejo; amigo; por lo tanto; por eso; (de la gente) morir, muerto",1176967,https://translate.google.com/translate_tts?ie=UTF-8&q=故&tl=zh&client=tw-ob
要求,yao qiu,to request; to require; requirement; to stake a claim; to ask; to demand; CL:點|点[dian3],solicitar; requerir; requisito; para apostar un reclamo; preguntar; exigir; CL: 點 | 点 [Dian3],1173256,https://translate.google.com/translate_tts?ie=UTF-8&q=要求&tl=zh&client=tw-ob
已,yi,already; to stop; then; afterwards,ya; parar; entonces; después,1162208,https://translate.google.com/translate_tts?ie=UTF-8&q=已&tl=zh&client=tw-ob
法,fa,law; method; way; to emulate; (Buddhism) dharma; (abbr. for 法家[Fa3 jia1]) the Legalists; (physics) farad (abbr. for 法拉[fa3 la1]),ley; método; forma; emular; (Budismo) Dharma; (Abbr. Para 法家 [fa3 jia1]) los legalistas; (Física) Farad (Abbr. Para 法拉 [FA3 LA1]),1144689,https://translate.google.com/translate_tts?ie=UTF-8&q=法&tl=zh&client=tw-ob
折,zhe,to break; to fracture; to snap; to suffer loss; to bend; to twist; to turn; to change direction; convinced; to convert into (currency); discount; rebate; tenth (in price); classifier for theatrical scenes; to fold; accounts book,romper; fractura; para romper; sufrir pérdida; doblar; torcer; para girar; para cambiar de dirección; convencido; para convertir en (moneda); descuento; reembolso; décimo (en precio); clasificador para escenas teatrales; plegar; libro de cuentas,1128960,https://translate.google.com/translate_tts?ie=UTF-8&q=折&tl=zh&client=tw-ob
共,gong,"common; general; to share; together; total; altogether; abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party","común; general; para compartir; juntos; total; en total; abbr. Para 共產黨 | 共产党 [Gong4 Chan3 Dang3], Partido Comunista",1126804,https://translate.google.com/translate_tts?ie=UTF-8&q=共&tl=zh&client=tw-ob
生,sheng,to be born; to give birth; life; to grow; raw; uncooked; student,nacer; dar a luz; vida; crecer; crudo; crudo; alumno,1106371,https://translate.google.com/translate_tts?ie=UTF-8&q=生&tl=zh&client=tw-ob
套,tao,"to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names); tau (Greek letter Ττ)","para cubrir; para encasar; cubrir; vaina; para superponerse; para entrelazar; para modelar después; para copiar; fórmula; aprovechar; bucle de cuerda; (Fig.) Para pescar para; para obtener astutamente; clasificador para conjuntos, colecciones; curva (de un río o cordillera, en nombres de lugares); tau (letra griega ττ)",1100800,https://translate.google.com/translate_tts?ie=UTF-8&q=套&tl=zh&client=tw-ob
住,zhu,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)","para vivir; vivir; quedarse; para residir; parar; (sufijo que indica firmeza, estabilidad o deteniéndose)",1065924,https://translate.google.com/translate_tts?ie=UTF-8&q=住&tl=zh&client=tw-ob
兵,bing,soldiers; a force; an army; weapons; arms; military; warlike; CL:個|个[ge4],soldados; una fuerza; un ejército; armas; brazos; militar; belicoso; CL: 個 | 个 [GE4],1060736,https://translate.google.com/translate_tts?ie=UTF-8&q=兵&tl=zh&client=tw-ob
意,yi,idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate,idea; significado; pensamiento; pensar; desear; deseo; intención; esperar; para anticipar,1052595,https://translate.google.com/translate_tts?ie=UTF-8&q=意&tl=zh&client=tw-ob
具,ju,"tool; device; utensil; equipment; instrument; talent; ability; to possess; to have; to provide; to furnish; to state; classifier for devices, coffins, dead bodies","herramienta; dispositivo; utensilio; equipo; instrumento; talento; capacidad; poseer; tener; para proporcionar; proporcionar; para indicar; clasificador para dispositivos, ataúdes, cadáveres",1052532,https://translate.google.com/translate_tts?ie=UTF-8&q=具&tl=zh&client=tw-ob
除,chu,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including,deshacerse de; para quitar; excluir; eliminar; para borrar; dividir; excepto; no incluido,1044224,https://translate.google.com/translate_tts?ie=UTF-8&q=除&tl=zh&client=tw-ob
相,xiang,"appearance; portrait; picture; government minister; (physics) phase; (literary) to appraise (esp. by scrutinizing physical features); to read sb's fortune (by physiognomy, palmistry etc)","apariencia; retrato; imagen; ministro del gobierno; (Física) Fase; (literario) para evaluar (especialmente mediante la escrutinización de las características físicas); para leer la fortuna de SB (por fisonomía, palmadeza, etc.)",1043308,https://translate.google.com/translate_tts?ie=UTF-8&q=相&tl=zh&client=tw-ob
左,zuo,left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite; variant of 佐[zuo3],izquierda; la izquierda (política); este; heterodoxo; queer; equivocado; diferente; opuesto; Variante de 佐 [ZUO3],1038663,https://translate.google.com/translate_tts?ie=UTF-8&q=左&tl=zh&client=tw-ob
包,bao,"to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]","para cubrir; para envolver; para sostener; incluir; para hacerse cargo de; contratar (a o para); paquete; envoltura; recipiente; bolsa; para sostener o abrazar; manojo; paquete; CL: 個 | 个 [GE4], 隻 | 只 [Zhi1]",1036644,https://translate.google.com/translate_tts?ie=UTF-8&q=包&tl=zh&client=tw-ob
明,ming,bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods,brillante; opuesto: oscuro 暗 [an4]; (de significado) claro; para entender; próximo; público o abierto; inteligente; término genérico para un sacrificio a los dioses,1031680,https://translate.google.com/translate_tts?ie=UTF-8&q=明&tl=zh&client=tw-ob
找,zhao,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,para tratar de encontrar; buscar; llamar a SB; encontrar; buscar; para regresar; Para dar cambio,1021944,https://translate.google.com/translate_tts?ie=UTF-8&q=找&tl=zh&client=tw-ob
直,zhi,straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters,derecho; enderezar; justo y razonable; franco; directo; (indica movimiento o acción continua); vertical; trazo vertical hacia abajo en caracteres chinos,1019392,https://translate.google.com/translate_tts?ie=UTF-8&q=直&tl=zh&client=tw-ob
周,zhou,to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially,para hacer un circuito; a un círculo; círculo; circunferencia; regazo; ciclo; completo; todo; por todas partes; exhaustivo; para ayudar financieramente,1007446,https://translate.google.com/translate_tts?ie=UTF-8&q=周&tl=zh&client=tw-ob
年,nian,year; CL:個|个[ge4],año; CL: 個 | 个 [GE4],994236,https://translate.google.com/translate_tts?ie=UTF-8&q=年&tl=zh&client=tw-ob
管理,guan li,to supervise; to manage; to administer; management; administration; CL:個|个[ge4],supervisar; para administrar; para administrar; gestión; administración; CL: 個 | 个 [GE4],978876,https://translate.google.com/translate_tts?ie=UTF-8&q=管理&tl=zh&client=tw-ob
格,ge,square; frame; rule; (legal) case; style; character; standard; pattern; (grammar) case; (classical) to obstruct; to hinder; (classical) to arrive; to come; (classical) to investigate; to study exhaustively,cuadrado; marco; regla; Caso (legal); estilo; personaje; estándar; patrón; Caso (gramática); (clásico) para obstruir; obstaculizar; (clásico) para llegar; por venir; (clásico) para investigar; estudiar exhaustivamente,953325,https://translate.google.com/translate_tts?ie=UTF-8&q=格&tl=zh&client=tw-ob
合,he,to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2],cerrar; para unirse; encajar; ser igual a; entero; juntos; ronda (en batalla); conjunción (astronomía); Primera nota de escala pentatónica; Vieja variante de 盒 [HE2],945300,https://translate.google.com/translate_tts?ie=UTF-8&q=合&tl=zh&client=tw-ob
小,xiao,small; tiny; few; young,pequeño; diminuto; pocos; joven,927504,https://translate.google.com/translate_tts?ie=UTF-8&q=小&tl=zh&client=tw-ob
革命,ge ming,to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning); revolution; revolutionary; to revolt (against sb or sth); to revolutionize (sth); (separable verb sometimes used in the pattern 革noun的命); CL:次[ci4],para retirar el mandato del cielo (y la transición a una nueva dinastía) (significado original); revolución; revolucionario; para rebelarse (contra SB o STH); revolucionar (sth); (verbo separable a veces usado en el patrón 革 sustantivo 的命); CL: 次 [CI4],923944,https://translate.google.com/translate_tts?ie=UTF-8&q=革命&tl=zh&client=tw-ob
穿,chuan,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,para usar; Ponerse; para vestirse; para atravesar; para perforar; perforar; para penetrar; pasar a través de; a hilo,920079,https://translate.google.com/translate_tts?ie=UTF-8&q=穿&tl=zh&client=tw-ob
吃,chi,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)","comer; consumir; comer en (una cafetería, etc.); para erradicar; destruir; para absorber; sufrir (shock, lesión, derrota, etc.)",919975,https://translate.google.com/translate_tts?ie=UTF-8&q=吃&tl=zh&client=tw-ob
黑,hei,black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify; (loanword) to hack (computing),negro; oscuro; siniestro; secreto; sombreado; ilegal; esconderse (st) fuera; vilipendiar; (palabra de préstamo) para hackear (computación),914976,https://translate.google.com/translate_tts?ie=UTF-8&q=黑&tl=zh&client=tw-ob
推,tui,to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage,para empujar; para cortar; rechazar; rechazar; declinar; para eludir (responsabilidad); para posponer; retrasar; para avanzar; nominar; elegir; masaje,910656,https://translate.google.com/translate_tts?ie=UTF-8&q=推&tl=zh&client=tw-ob
心,xin,"heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]","corazón; mente; intención; centro; centro; CL: 顆 | 颗 [Ke1], 個 | 个 [GE4]",908496,https://translate.google.com/translate_tts?ie=UTF-8&q=心&tl=zh&client=tw-ob
比,bi,to compare; (followed by a noun and adjective) more {adj.} than {noun}; ratio; to gesture; (Taiwan pr. [bi4] in some compounds derived from Classical Chinese),para comparar; (seguido de un sustantivo y adjetivo) más {adj.} que {sustantivo}; relación; al gesto; (Taiwán pr. [Bi4] en algunos compuestos derivados del chino clásico),882625,https://translate.google.com/translate_tts?ie=UTF-8&q=比&tl=zh&client=tw-ob
研究,yan jiu,research; a study; CL:項|项[xiang4]; to research; to look into,investigación; un estudio; Cl: 項 | 项 [xiang4]; investigar; para investigar,875725,https://translate.google.com/translate_tts?ie=UTF-8&q=研究&tl=zh&client=tw-ob
水,shui,water; (after a name) ... River; to swim (used mostly in 會水|会水[hui4shui3] and 水性[shui3xing4]); (coll.) lacking in substance; shoddy; (bound form) additional cost; extra income; classifier for washings of a garment,agua; (después de un nombre) ... río; nadar (utilizado principalmente en 會水 | 会水 [Hui4shui3] y 水性 [shui3xing4]); (Coll.) Falta de sustancia; pacotilla; (forma unida) costo adicional; ingresos extra; Clasificador para lavados de una prenda,875304,https://translate.google.com/translate_tts?ie=UTF-8&q=水&tl=zh&client=tw-ob
部,bu,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc","ministerio; departamento; sección; parte; división; tropas; junta; Clasificador para obras de literatura, películas, máquinas, etc.",869056,https://translate.google.com/translate_tts?ie=UTF-8&q=部&tl=zh&client=tw-ob
接,jie,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb,para recibir; para contestar (el teléfono); para conocer o dar la bienvenida a SB; para conectarse; atrapar; para unirse; extender; tomar el giro de uno de servicio; para hacerse cargo de SB,851715,https://translate.google.com/translate_tts?ie=UTF-8&q=接&tl=zh&client=tw-ob
站,zhan,station; to stand; to halt; to stop; branch of a company or organization; website,estación; para pararse; detenerse; parar; rama de una empresa u organización; sitio web,834984,https://translate.google.com/translate_tts?ie=UTF-8&q=站&tl=zh&client=tw-ob
原,yuan,former; original; primary; raw; level; cause; source,anterior; original; primario; crudo; nivel; causa; fuente,829374,https://translate.google.com/translate_tts?ie=UTF-8&q=原&tl=zh&client=tw-ob
花,hua,"flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); (coll.) lecherous; lustful","flor; florecer; Cl: 朵 [duo3], 支 [zhi1], 束 [shu4], 把 [ba3], 盆 [Pen2], 簇 [Cu4]; patrón elegante; florido; gastar (dinero, tiempo); (coll.) lujurioso; libidinoso",813440,https://translate.google.com/translate_tts?ie=UTF-8&q=花&tl=zh&client=tw-ob
都,dou,capital city; metropolis,ciudad capital; metrópoli,811120,https://translate.google.com/translate_tts?ie=UTF-8&q=都&tl=zh&client=tw-ob
十分,shi fen,very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts,muy; completamente; absolutamente; extremadamente; absolutamente; cien por ciento; dividir en diez partes iguales,804972,https://translate.google.com/translate_tts?ie=UTF-8&q=十分&tl=zh&client=tw-ob
及,ji,and; to reach; up to; in time for,y; alcanzar; arriba a; a tiempo para,799808,https://translate.google.com/translate_tts?ie=UTF-8&q=及&tl=zh&client=tw-ob
引,yin,"to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters","para dibujar (por ejemplo, un arco); tirar; estirar Sth; extender; alargar; involucrar o implicar en; atraer; para liderar; para guiar; para irse; proporcionar evidencia o justificación para; Unidad de distancia antigua igual a 10 丈 [Zhang4], una diez km o 33.33 metros",799200,https://translate.google.com/translate_tts?ie=UTF-8&q=引&tl=zh&client=tw-ob
提出,ti chu,to raise (an issue); to propose; to put forward; to suggest; to post (on a website); to withdraw (cash),para plantear (un problema); proponer; para presentarse; sugerir; publicar (en un sitio web); para retirar (efectivo),797004,https://translate.google.com/translate_tts?ie=UTF-8&q=提出&tl=zh&client=tw-ob
位,wei,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential,"posición; ubicación; lugar; asiento; clasificador para personas (honoríficas); clasificador para bits binarios (por ejemplo, 十六位 十六位 十六位 十六位 十六位 十六位 16 bits o 2 bytes); (Física) potencial",795907,https://translate.google.com/translate_tts?ie=UTF-8&q=位&tl=zh&client=tw-ob
倒,dao,to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet,invertir; colocar al revés o al frente hacia atrás; para derramar; para dar una propina; para volcar; invertido; Al revés; invertido; para ir hacia atrás; Contrariamente a lo que uno podría esperar; pero; todavía,791784,https://translate.google.com/translate_tts?ie=UTF-8&q=倒&tl=zh&client=tw-ob
凡,fan,ordinary; commonplace; mundane; temporal; of the material world (as opposed to supernatural or immortal levels); every; all; whatever; altogether; gist; outline; note of Chinese musical scale,común; vulgar; mundano; temporal; del mundo material (en oposición a los niveles sobrenaturales o inmortales); cada; todo; lo que sea; en total; esencia; describir; Nota de escala musical china,782064,https://translate.google.com/translate_tts?ie=UTF-8&q=凡&tl=zh&client=tw-ob
平,ping,flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful; abbr. for 平聲|平声[ping2 sheng1],departamento; nivel; igual; Atar (hacer el mismo puntaje); dibujar (puntaje); calma; pacífico; abbr. para 平聲 | 平声 [Ping2 Sheng1],774400,https://translate.google.com/translate_tts?ie=UTF-8&q=平&tl=zh&client=tw-ob
放,fang,to put; to place; to release; to free; to let go; to let out; to set off (fireworks),Poner; colocar; para liberar; para liberar; para dejar ir; dejar salir; Para encender (fuegos artificiales),742889,https://translate.google.com/translate_tts?ie=UTF-8&q=放&tl=zh&client=tw-ob
金,jin,gold; chemical element Au; generic term for lustrous and ductile metals; money; golden; highly respected; one of the eight categories of ancient musical instruments 八音[ba1 yin1],oro; elemento químico au; término genérico para metales lustrosos y dúctiles; dinero; dorado; muy respetado; Una de las ocho categorías de instrumentos musicales antiguos 八音 [BA1 YIN1],738626,https://translate.google.com/translate_tts?ie=UTF-8&q=金&tl=zh&client=tw-ob
意思,yi si,"idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; CL:個|个[ge4]; to give as a small token; to do sth as a gesture of goodwill etc","idea; opinión; significado; desear; deseo; interés; divertido; Token de apreciación, afecto, etc. CL: 個 | 个 [GE4]; dar como una pequeña ficha; hacer sth como un gesto de buena voluntad, etc.",736769,https://translate.google.com/translate_tts?ie=UTF-8&q=意思&tl=zh&client=tw-ob
