palabra,pinyin,sentido,traduccion,ejemplo,audio_url,score
再,zai,(antes de un adjetivo) más, (antes de un adjetivo) más,Ejemplo de uso con 再 - (antes de un adjetivo) más,https://translate.google.com/translate_tts?ie=UTF-8&q=再&tl=zh&client=tw-ob,2719843
再,zai,"luego (después de Sth, y no hasta entonces)"," luego (después de Sth, y no hasta entonces)","Ejemplo de uso con 再 - luego (después de Sth, y no hasta entonces)",https://translate.google.com/translate_tts?ie=UTF-8&q=再&tl=zh&client=tw-ob,2719843
再,zai,"No importa cómo ... (seguido de un adjetivo o verbo, y luego (generalmente) 也 [ye3] o 都 [dou1] para énfasis)"," No importa cómo ... (seguido de un adjetivo o verbo, y luego (generalmente) 也 [ye3] o 都 [dou1] para énfasis)","Ejemplo de uso con 再 - No importa cómo ... (seguido de un adjetivo o verbo, y luego (generalmente) 也 [ye3] o 都 [dou1] para énfasis)",https://translate.google.com/translate_tts?ie=UTF-8&q=再&tl=zh&client=tw-ob,2719843
再,zai,"(utilizado para introducir información adicional, como en 再則 | 再则 [Zai4ze2], 再就是 [Zai4jiu4shi4] etc.)"," (utilizado para introducir información adicional, como en 再則 | 再则 [Zai4ze2], 再就是 [Zai4jiu4shi4] etc.)","Ejemplo de uso con 再 - (utilizado para introducir información adicional, como en 再則 | 再则 [Zai4ze2], 再就是 [Zai4jiu4shi4] etc.)",https://translate.google.com/translate_tts?ie=UTF-8&q=再&tl=zh&client=tw-ob,2719843
再,zai,(literario) para reaparecer, (literario) para reaparecer,Ejemplo de uso con 再 - (literario) para reaparecer,https://translate.google.com/translate_tts?ie=UTF-8&q=再&tl=zh&client=tw-ob,2719843
再,zai,para volver a ocurrir, para volver a ocurrir,Ejemplo de uso con 再 - para volver a ocurrir,https://translate.google.com/translate_tts?ie=UTF-8&q=再&tl=zh&client=tw-ob,2719843
被,bei,colcha,colcha,Ejemplo de uso con 被 - colcha,https://translate.google.com/translate_tts?ie=UTF-8&q=被&tl=zh&client=tw-ob,2671125
被,bei,para cubrir (con), para cubrir (con),Ejemplo de uso con 被 - para cubrir (con),https://translate.google.com/translate_tts?ie=UTF-8&q=被&tl=zh&client=tw-ob,2671125
被,bei,(literario) sufrir (una desgracia), (literario) sufrir (una desgracia),Ejemplo de uso con 被 - (literario) sufrir (una desgracia),https://translate.google.com/translate_tts?ie=UTF-8&q=被&tl=zh&client=tw-ob,2671125
被,bei,"se usa para indicar la voz pasiva (colocada ante el hacedor de la acción como ""por"" en las oraciones de voz pasiva inglesa, o, si no se menciona el hacedor, antes del verbo)"," se usa para indicar la voz pasiva (colocada ante el hacedor de la acción como ""por"" en las oraciones de voz pasiva inglesa, o, si no se menciona el hacedor, antes del verbo)","Ejemplo de uso con 被 - se usa para indicar la voz pasiva (colocada ante el hacedor de la acción como ""por"" en las oraciones de voz pasiva inglesa, o, si no se menciona el hacedor, antes del verbo)",https://translate.google.com/translate_tts?ie=UTF-8&q=被&tl=zh&client=tw-ob,2671125
被,bei,"(desde c. 2009) (sarcástico o jocoso) solía indicar que la siguiente palabra debe considerarse como cotizaciones de aire (como en 被旅遊 | 被旅游 [bei4 lu: 3you2] para ""hacer un viaje"")"," (desde c. 2009) (sarcástico o jocoso) solía indicar que la siguiente palabra debe considerarse como cotizaciones de aire (como en 被旅遊 | 被旅游 [bei4 lu: 3you2] para ""hacer un viaje"")","Ejemplo de uso con 被 - (desde c. 2009) (sarcástico o jocoso) solía indicar que la siguiente palabra debe considerarse como cotizaciones de aire (como en 被旅遊 | 被旅游 [bei4 lu: 3you2] para ""hacer un viaje"")",https://translate.google.com/translate_tts?ie=UTF-8&q=被&tl=zh&client=tw-ob,2671125
跟,gen,tacón,tacón,Ejemplo de uso con 跟 - tacón,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,seguir de cerca, seguir de cerca,Ejemplo de uso con 跟 - seguir de cerca,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,para ir con, para ir con,Ejemplo de uso con 跟 - para ir con,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,(de una mujer) para casarse con SB, (de una mujer) para casarse con SB,Ejemplo de uso con 跟 - (de una mujer) para casarse con SB,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,con, con,Ejemplo de uso con 跟 - con,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,comparado con, comparado con,Ejemplo de uso con 跟 - comparado con,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,a, a,Ejemplo de uso con 跟 - a,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,hacia, hacia,Ejemplo de uso con 跟 - hacia,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
跟,gen,y (uniendo dos sustantivos), y (uniendo dos sustantivos),Ejemplo de uso con 跟 - y (uniendo dos sustantivos),https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob,2623833
管,guan,cuidar (de),cuidar (de),Ejemplo de uso con 管 - cuidar (de),https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,para controlar, para controlar,Ejemplo de uso con 管 - para controlar,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,para administrar, para administrar,Ejemplo de uso con 管 - para administrar,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,estar a cargo de, estar a cargo de,Ejemplo de uso con 管 - estar a cargo de,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,cuidar, cuidar,Ejemplo de uso con 管 - cuidar,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,correr, correr,Ejemplo de uso con 管 - correr,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,cuidar, cuidar,Ejemplo de uso con 管 - cuidar,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,tubo, tubo,Ejemplo de uso con 管 - tubo,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,tubo, tubo,Ejemplo de uso con 管 - tubo,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,viento de madera, viento de madera,Ejemplo de uso con 管 - viento de madera,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,clasificador para objetos en forma de tubo, clasificador para objetos en forma de tubo,Ejemplo de uso con 管 - clasificador para objetos en forma de tubo,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,partícula similar a 把 [BA3] en 管 ... 叫 Construcciones, partícula similar a 把 [BA3] en 管 ... 叫 Construcciones,Ejemplo de uso con 管 - partícula similar a 把 [BA3] en 管 ... 叫 Construcciones,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,cepillo de escritura, cepillo de escritura,Ejemplo de uso con 管 - cepillo de escritura,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,(coll.) a, (coll.) a,Ejemplo de uso con 管 - (coll.) a,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
管,guan,hacia, hacia,Ejemplo de uso con 管 - hacia,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob,2574900
可以,ke yi,poder,poder,Ejemplo de uso con 可以 - poder,https://translate.google.com/translate_tts?ie=UTF-8&q=可以&tl=zh&client=tw-ob,2554488
可以,ke yi,puede, puede,Ejemplo de uso con 可以 - puede,https://translate.google.com/translate_tts?ie=UTF-8&q=可以&tl=zh&client=tw-ob,2554488
可以,ke yi,posible, posible,Ejemplo de uso con 可以 - posible,https://translate.google.com/translate_tts?ie=UTF-8&q=可以&tl=zh&client=tw-ob,2554488
可以,ke yi,capaz de, capaz de,Ejemplo de uso con 可以 - capaz de,https://translate.google.com/translate_tts?ie=UTF-8&q=可以&tl=zh&client=tw-ob,2554488
可以,ke yi,nada mal, nada mal,Ejemplo de uso con 可以 - nada mal,https://translate.google.com/translate_tts?ie=UTF-8&q=可以&tl=zh&client=tw-ob,2554488
可以,ke yi,bastante bien, bastante bien,Ejemplo de uso con 可以 - bastante bien,https://translate.google.com/translate_tts?ie=UTF-8&q=可以&tl=zh&client=tw-ob,2554488
多,duo,muchos,muchos,Ejemplo de uso con 多 - muchos,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,mucho, mucho,Ejemplo de uso con 多 - mucho,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,más, más,Ejemplo de uso con 多 - más,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,mucho, mucho,Ejemplo de uso con 多 - mucho,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,demasiado, demasiado,Ejemplo de uso con 多 - demasiado,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,en exceso, en exceso,Ejemplo de uso con 多 - en exceso,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,(después de un número) ... impar, (después de un número) ... impar,Ejemplo de uso con 多 - (después de un número) ... impar,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,cómo (en qué medida) (Taiwán pr. [duo2]), cómo (en qué medida) (Taiwán pr. [duo2]),Ejemplo de uso con 多 - cómo (en qué medida) (Taiwán pr. [duo2]),https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,(forma unida) múltiple, (forma unida) múltiple,Ejemplo de uso con 多 - (forma unida) múltiple,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
多,duo,escuela politécnica-, escuela politécnica-,Ejemplo de uso con 多 - escuela politécnica-,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob,2472500
掉,diao,caer,caer,Ejemplo de uso con 掉 - caer,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,dejar caer, dejar caer,Ejemplo de uso con 掉 - dejar caer,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,Para retrasarse, Para retrasarse,Ejemplo de uso con 掉 - Para retrasarse,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,perder, perder,Ejemplo de uso con 掉 - perder,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,para desaparecer, para desaparecer,Ejemplo de uso con 掉 - para desaparecer,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,para reducir, para reducir,Ejemplo de uso con 掉 - para reducir,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,caída (en precios), caída (en precios),Ejemplo de uso con 掉 - caída (en precios),https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,"perder (valor, peso, etc.)"," perder (valor, peso, etc.)","Ejemplo de uso con 掉 - perder (valor, peso, etc.)",https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,a menear, a menear,Ejemplo de uso con 掉 - a menear,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,balancearse, balancearse,Ejemplo de uso con 掉 - balancearse,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,para girar, para girar,Ejemplo de uso con 掉 - para girar,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,cambiar, cambiar,Ejemplo de uso con 掉 - cambiar,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,para intercambiar, para intercambiar,Ejemplo de uso con 掉 - para intercambiar,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,para intercambiar, para intercambiar,Ejemplo de uso con 掉 - para intercambiar,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,para presumir, para presumir,Ejemplo de uso con 掉 - para presumir,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,para arrojar (cabello), para arrojar (cabello),Ejemplo de uso con 掉 - para arrojar (cabello),https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
掉,diao,"(utilizado después de ciertos verbos para expresar la finalización, el cumplimiento, la eliminación, etc.)"," (utilizado después de ciertos verbos para expresar la finalización, el cumplimiento, la eliminación, etc.)","Ejemplo de uso con 掉 - (utilizado después de ciertos verbos para expresar la finalización, el cumplimiento, la eliminación, etc.)",https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob,2411416
工作,gong zuo,trabajar,trabajar,Ejemplo de uso con 工作 - trabajar,https://translate.google.com/translate_tts?ie=UTF-8&q=工作&tl=zh&client=tw-ob,2389212
工作,gong zuo,(de una máquina) para operar, (de una máquina) para operar,Ejemplo de uso con 工作 - (de una máquina) para operar,https://translate.google.com/translate_tts?ie=UTF-8&q=工作&tl=zh&client=tw-ob,2389212
工作,gong zuo,trabajo, trabajo,Ejemplo de uso con 工作 - trabajo,https://translate.google.com/translate_tts?ie=UTF-8&q=工作&tl=zh&client=tw-ob,2389212
工作,gong zuo,trabajar, trabajar,Ejemplo de uso con 工作 - trabajar,https://translate.google.com/translate_tts?ie=UTF-8&q=工作&tl=zh&client=tw-ob,2389212
工作,gong zuo,tarea, tarea,Ejemplo de uso con 工作 - tarea,https://translate.google.com/translate_tts?ie=UTF-8&q=工作&tl=zh&client=tw-ob,2389212
工作,gong zuo,"CL: 個 | 个 [GE4], 份 [fen4], 項 | 项 [xiang4]"," CL: 個 | 个 [GE4], 份 [fen4], 項 | 项 [xiang4]","Ejemplo de uso con 工作 - CL: 個 | 个 [GE4], 份 [fen4], 項 | 项 [xiang4]",https://translate.google.com/translate_tts?ie=UTF-8&q=工作&tl=zh&client=tw-ob,2389212
回,hui,a un círculo,a un círculo,Ejemplo de uso con 回 - a un círculo,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,volver, volver,Ejemplo de uso con 回 - volver,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,dar la vuelta, dar la vuelta,Ejemplo de uso con 回 - dar la vuelta,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,para responder, para responder,Ejemplo de uso con 回 - para responder,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,para regresar, para regresar,Ejemplo de uso con 回 - para regresar,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,para girar, para girar,Ejemplo de uso con 回 - para girar,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,Grupo étnico Hui (musulmanes chinos), Grupo étnico Hui (musulmanes chinos),Ejemplo de uso con 回 - Grupo étnico Hui (musulmanes chinos),https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,tiempo, tiempo,Ejemplo de uso con 回 - tiempo,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,clasificador para actos de una obra, clasificador para actos de una obra,Ejemplo de uso con 回 - clasificador para actos de una obra,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
回,hui,sección o capítulo (de un libro clásico), sección o capítulo (de un libro clásico),Ejemplo de uso con 回 - sección o capítulo (de un libro clásico),https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob,2357200
能,neng,poder,poder,Ejemplo de uso con 能 - poder,https://translate.google.com/translate_tts?ie=UTF-8&q=能&tl=zh&client=tw-ob,2327400
能,neng,poder, poder,Ejemplo de uso con 能 - poder,https://translate.google.com/translate_tts?ie=UTF-8&q=能&tl=zh&client=tw-ob,2327400
能,neng,posiblemente podría, posiblemente podría,Ejemplo de uso con 能 - posiblemente podría,https://translate.google.com/translate_tts?ie=UTF-8&q=能&tl=zh&client=tw-ob,2327400
能,neng,capacidad, capacidad,Ejemplo de uso con 能 - capacidad,https://translate.google.com/translate_tts?ie=UTF-8&q=能&tl=zh&client=tw-ob,2327400
能,neng,(Física) Energía, (Física) Energía,Ejemplo de uso con 能 - (Física) Energía,https://translate.google.com/translate_tts?ie=UTF-8&q=能&tl=zh&client=tw-ob,2327400
反,fan,contrario,contrario,Ejemplo de uso con 反 - contrario,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,marcha atrás, marcha atrás,Ejemplo de uso con 反 - marcha atrás,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,dentro o al revés, dentro o al revés,Ejemplo de uso con 反 - dentro o al revés,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,para revertir, para revertir,Ejemplo de uso con 反 - para revertir,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,para regresar, para regresar,Ejemplo de uso con 反 - para regresar,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,oponerse, oponerse,Ejemplo de uso con 反 - oponerse,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,opuesto, opuesto,Ejemplo de uso con 反 - opuesto,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,contra, contra,Ejemplo de uso con 反 - contra,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,anti-, anti-,Ejemplo de uso con 反 - anti-,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,rebelarse, rebelarse,Ejemplo de uso con 反 - rebelarse,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,para usar analogía, para usar analogía,Ejemplo de uso con 反 - para usar analogía,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,en cambio, en cambio,Ejemplo de uso con 反 - en cambio,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
反,fan,abbr. Para el sistema fonético 反切 [FAN3 QIE4], abbr. Para el sistema fonético 反切 [FAN3 QIE4],Ejemplo de uso con 反 - abbr. Para el sistema fonético 反切 [FAN3 QIE4],https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob,2281500
之,zhi,"(partícula posesiva, equivalente literario de 的 [DE5])","(partícula posesiva, equivalente literario de 的 [DE5])","Ejemplo de uso con 之 - (partícula posesiva, equivalente literario de 的 [DE5])",https://translate.google.com/translate_tts?ie=UTF-8&q=之&tl=zh&client=tw-ob,2255312
之,zhi,a él, a él,Ejemplo de uso con 之 - a él,https://translate.google.com/translate_tts?ie=UTF-8&q=之&tl=zh&client=tw-ob,2255312
之,zhi,su, su,Ejemplo de uso con 之 - su,https://translate.google.com/translate_tts?ie=UTF-8&q=之&tl=zh&client=tw-ob,2255312
之,zhi,él, él,Ejemplo de uso con 之 - él,https://translate.google.com/translate_tts?ie=UTF-8&q=之&tl=zh&client=tw-ob,2255312
得,de,tener que,tener que,Ejemplo de uso con 得 - tener que,https://translate.google.com/translate_tts?ie=UTF-8&q=得&tl=zh&client=tw-ob,2151664
得,de,debe, debe,Ejemplo de uso con 得 - debe,https://translate.google.com/translate_tts?ie=UTF-8&q=得&tl=zh&client=tw-ob,2151664
得,de,debería, debería,Ejemplo de uso con 得 - debería,https://translate.google.com/translate_tts?ie=UTF-8&q=得&tl=zh&client=tw-ob,2151664
得,de,necesitar, necesitar,Ejemplo de uso con 得 - necesitar,https://translate.google.com/translate_tts?ie=UTF-8&q=得&tl=zh&client=tw-ob,2151664
按,an,presionar,presionar,Ejemplo de uso con 按 - presionar,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,para empujar, para empujar,Ejemplo de uso con 按 - para empujar,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,para dejar de lado o guardar, para dejar de lado o guardar,Ejemplo de uso con 按 - para dejar de lado o guardar,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,para controlar, para controlar,Ejemplo de uso con 按 - para controlar,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,para contener, para contener,Ejemplo de uso con 按 - para contener,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,para mantener la mano encendida, para mantener la mano encendida,Ejemplo de uso con 按 - para mantener la mano encendida,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,para verificar o referirse a, para verificar o referirse a,Ejemplo de uso con 按 - para verificar o referirse a,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,de acuerdo a, de acuerdo a,Ejemplo de uso con 按 - de acuerdo a,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,a la luz de, a la luz de,Ejemplo de uso con 按 - a la luz de,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
按,an,(de un editor o autor) para hacer un comentario, (de un editor o autor) para hacer un comentario,Ejemplo de uso con 按 - (de un editor o autor) para hacer un comentario,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob,2100800
受,shou,para recibir,para recibir,Ejemplo de uso con 受 - para recibir,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,aceptar, aceptar,Ejemplo de uso con 受 - aceptar,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,sufrir, sufrir,Ejemplo de uso con 受 - sufrir,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,Sometido a, Sometido a,Ejemplo de uso con 受 - Sometido a,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,soportar, soportar,Ejemplo de uso con 受 - soportar,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,para pararse, para pararse,Ejemplo de uso con 受 - para pararse,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,agradable, agradable,Ejemplo de uso con 受 - agradable,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,(marcador pasivo), (marcador pasivo),Ejemplo de uso con 受 - (marcador pasivo),https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
受,shou,(LGBT) Bottom, (LGBT) Bottom,Ejemplo de uso con 受 - (LGBT) Bottom,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob,2089476
像,xiang,parecerse,parecerse,Ejemplo de uso con 像 - parecerse,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
像,xiang,ser como, ser como,Ejemplo de uso con 像 - ser como,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
像,xiang,parecer como si, parecer como si,Ejemplo de uso con 像 - parecer como si,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
像,xiang,como, como,Ejemplo de uso con 像 - como,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
像,xiang,apariencia, apariencia,Ejemplo de uso con 像 - apariencia,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
像,xiang,imagen, imagen,Ejemplo de uso con 像 - imagen,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
像,xiang,retrato, retrato,Ejemplo de uso con 像 - retrato,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
像,xiang,Imagen bajo una mapeo (matemáticas), Imagen bajo una mapeo (matemáticas),Ejemplo de uso con 像 - Imagen bajo una mapeo (matemáticas),https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob,2039936
家,jia,hogar,hogar,Ejemplo de uso con 家 - hogar,https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob,2010078
家,jia,familia, familia,Ejemplo de uso con 家 - familia,https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob,2010078
家,jia,"(educado) mi (hermana, tío, etc.)"," (educado) mi (hermana, tío, etc.)","Ejemplo de uso con 家 - (educado) mi (hermana, tío, etc.)",https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob,2010078
家,jia,clasificador para familias o empresas, clasificador para familias o empresas,Ejemplo de uso con 家 - clasificador para familias o empresas,https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob,2010078
家,jia,se refiere a las escuelas filosóficas de Pre-Han China, se refiere a las escuelas filosóficas de Pre-Han China,Ejemplo de uso con 家 - se refiere a las escuelas filosóficas de Pre-Han China,https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob,2010078
家,jia,"sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian"," sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian","Ejemplo de uso con 家 - sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian",https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob,2010078
家,jia,CL: 個 | 个 [GE4], CL: 個 | 个 [GE4],Ejemplo de uso con 家 - CL: 個 | 个 [GE4],https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob,2010078
可能,ke neng,podría (pasar),podría (pasar),Ejemplo de uso con 可能 - podría (pasar),https://translate.google.com/translate_tts?ie=UTF-8&q=可能&tl=zh&client=tw-ob,1997632
可能,ke neng,posible, posible,Ejemplo de uso con 可能 - posible,https://translate.google.com/translate_tts?ie=UTF-8&q=可能&tl=zh&client=tw-ob,1997632
