frase,palabra,significado_correcto,traduccion_es
这个可怜的年轻人最后成为了一个了不起的艺术家。,一,,Este pobre joven finalmente se convirtió en un artista increíble.
"爸爸給了我一本書, 弟弟給了我一枝筆。",一,,"Papá me dio un libro, mi hermano me dio un bolígrafo."
我說不明白它們兩個有什麼曲別。,有,,No entiendo la diferencia entre ellos.
他已經做完功課了。,了,,Ha terminado su tarea.
去年圣诞节做了什么了？,年,,¿Qué hiciste la Navidad pasada?
你的年龄是多少？,年,,¿Cuál es tu edad?
我上星期把錢付了給他。,期,,Le pagué la semana pasada.
我不想去澳洲了。,了,,Ya no quiero ir a Australia.
日本人有黑色的眼睛。,有,,Los japoneses tienen los ojos negros.
她最晚9点必须回家。,家,,Tiene que irse a casa a las 9 p.m. a más tardar.
湯姆和瑪麗過來是為了來看你的。,看,,Tom y Mary vinieron a verte.
我想要一颗糖。,一,,Quiero azúcar.
你做的比我好。,比,,Lo estás haciendo mejor que yo.
就在这儿停车吧。,在,,Sólo detente aquí.
今晚我将在朋友家过夜。,家,,Pasaré la noche en casa de mi amigo.
他们拜访了首都。,了,,Visitaron la capital.
数到三十。,到,,Cuenta hasta 30.
永恆持續最久。,最,,Dura más tiempo.
我点了青蛙加面条。,面,,Pedí ranas con fideos.
許多貧困的學生得到獎學金。,生,,Muchos estudiantes pobres reciben becas.
她把小毕卡思的绘画放在画间的墙上。,在,,Puso su pintura en la pared del dibujo.
她似乎不是美國人。,是,,No parece americana.
他打算提前回國。,提,,Tiene la intención de volver temprano.
问题是：谁代替他去？,是,,La pregunta es: ¿Quién tomará su lugar?
我想知道这个冬天在我们的城市会不会下雪。,道,,Me pregunto si nevará en nuestra ciudad este invierno.
湯姆有點蒼白,有,,Tom está un poco pálido.
这是日本最深的湖。,日,,Este es el lago más profundo de Japón.
你发现这两张照片的区别了吗？,片,,¿Viste la diferencia entre estas dos fotos?
鹿是简的三倍重。,是,,El ciervo es tres veces el peso de Jane.
我试着解决问题，但我解决不了。,但,,"Traté de resolver el problema, pero no pude."
昨天的会议怎么样？,么,,¿Qué tal la reunión de ayer?
今晚可以住你家嗎？,家,,¿Puedo quedarme en tu casa esta noche?
你的后门是开着的。,后,,Tu puerta trasera estaba abierta.
年纪大的上海人很多讲上海话的。,年,,Muchos de los Shanghaiers más viejos hablan Shanghái.
汤姆看起来一点也不开心。,看,,Tom no se ve feliz en absoluto.
我非常想见她,常,,Realmente me gustaría verla.
当您登记美国大学时，您考TOEFL获得的分数只是所选因素的其中一个。,中,,"Cuando te registras en una universidad estadounidense, la puntuación que obtienes de TOEFL es sólo uno de los factores seleccionados."
他梦想着成为一名英雄。,一,,Soñaba con convertirse en un héroe.
有一個危險的罪犯從監獄裡逃了出來。,有,,Un peligroso criminal escapó de prisión.
我太愚蠢了...我竟然试着给你解释我自己都不懂的东西。,了,,Soy tan estúpido... y estoy tratando de explicarte algo que ni siquiera sé.
這裏晚上很靜。,上,,Está tranquilo aquí por la noche.
这些照片总是让我想起昔日时光。,片,,Estas fotos siempre me recuerdan a los viejos tiempos.
领主对他的臣民有绝对权力。,有,,El Señor tiene autoridad absoluta sobre sus súbditos.
我一直讀這個讀了幾個小時。,一,,He estado leyendo esto durante horas.
她們都是大學生。,生,,Todos son estudiantes universitarios.
这就是我出生长大的房子。,生,,Esa es la casa en la que crecí.
多久以前？,前,,¿Hace cuánto tiempo?
这些鞋子太紧了，伤脚。,了,,"Estos zapatos están muy apretados, se lastiman los pies."
那我呢?,那,,¿Qué hay de mí?
她的英语掌握得很熟练。,掌,,Tiene un buen dominio del inglés.
這本字典是誰的？,字,,¿De quién es este diccionario?
看到了吧？你应该学一门外语。,看,,Deberías aprender un idioma extranjero.
我們需要更多。,要,,Necesitamos más.
我给她买了辆新车。,新,,Le compré un coche nuevo.
我希望我能像他一樣。,一,,Ojalá pudiera ser como él.
其實現時的方法還有很大的改善空間。,有,,"De hecho, todavía hay mucho margen para mejorar la forma en que se hacen las cosas."
汤姆在吗？,在,,¿Está Tom aquí?
他在那张桌子那里。,里,,Está allí en esa mesa.
你說太多了。,多,,Hablas demasiado.
你自投羅網了。,了,,Ahora estás por tu cuenta.
他失去了平衡，从梯子上摔了下来。,了,,Perdió el equilibrio y se cayó de la escalera.
我们一有回复就会给你打电话的。,有,,Te llamaremos en cuanto volvamos.
这是一部五幕歌剧。,一,,Es una ópera de cinco etapas.
警察会追捕她很长时间。,追,,La policía la perseguirá por mucho tiempo.
事实上，这个项目需要大家。,目,,"De hecho, este proyecto los necesita a todos ustedes."
你看起來很高興。,看,,Te ves feliz.
你今天看西语了吗？,看,,¿Leíste español hoy?
我感觉有些轻飘飘了。,有,,Me siento un poco más ligero.
請把奶油遞給我。,油,,"Pásame la crema, por favor."
最近的图书馆在哪里？,最,,¿Dónde está la biblioteca más cercana?
我父亲是一名外科专家。,一,,Mi padre era cirujano.
汤姆把伞落在了巴士上。,巴,,Tom dejó su paraguas en el autobús.
電話響了好幾次。,了,,El teléfono sonó varias veces.
他说话太快了。,了,,Está hablando demasiado rápido.
我累得不能再累了。,不能,,Ya no puedo cansarme.
我需要医生。,生,,Necesito un médico.
LZH格式的文件怎么解压啊？,文,,¿Cómo deprimo los archivos LZH?
你有空吗?,有,,¿Tienes un minuto?
他说服了他老婆不离婚。,老,,Convenció a su esposa de no divorciarse.
她是個女人。,是,,Es una mujer.
非常高興再次見到你。,常,,Me alegro de volver a verte.
在这些男孩中，谁是Masao?,中,,"De estos chicos, ¿quién es Masao?"
他把球扔了。,了,,Tiró la pelota.
在现今的社会，最难做到的事情就是……做回自己。,最,,"En la sociedad de hoy, lo más difícil de hacer es ser uno mismo de nuevo."
宁波唐时名称明州。,名,,El nombre de Ning Botten es Mingzhou.
只有小說人物才會有一輩子不改變的性格。,性,,Sólo los novelistas tendrán el mismo carácter que nunca cambiarán.
無色的綠色意念憤怒地沉睡著。,地,,La mente verde incolora duerme enojada.
这是一条很大的狗。,一,,Es un perro grande.
薩米不喜歡那個。,喜,,A Sammy no le gusta eso.
你可以去任何你想去的地方。,地,,Puedes ir a donde quieras.
她为她做了一切事。,一,,Ella hizo todo por ella.
是綠色。,是,,Es verde.
我很喜歡雪。,喜,,Me encanta la nieve.
他幾乎從來沒揭開過一本書。,一,,Casi nunca abrió un libro.
卡倫生我的氣。,生,,Karen está enojada conmigo.
您学什么？,么,,¿Qué estás estudiando?
英格兰为她的诗人感到自豪。,格,,Inglaterra está orgullosa de su poeta.
在多年的思索之下，我終於了解人生的意義就是去尋找人生的意義。我們每個人都是獨特的個體。我們每個人都能找到屬於自己的人生目標。,目,,"Después de muchos años de pensar, finalmente aprendí que el significado de la vida es encontrarlo. Cada uno de nosotros es único. Cada uno de nosotros puede encontrar su propia meta."
这本书在英国印刷。,本,,El libro está impreso en Inglaterra.
请清洗它。,清,,"Por favor, lávelo."
我想我們還要再等半個小時。,要,,Creo que tendremos que esperar otra media hora.
汤姆和玛丽都没有发现什么有价值的东西。,有,,Tom y Mary no encontraron nada valioso.
这首歌让我的内心充盈了乡愁。,心,,Esta canción llena mi corazón de tristeza.
他和他兄弟不一样。,一,,No es como su hermano.
没有女人的话，世界会是什么样？,有,,¿Cómo sería el mundo sin una mujer?
